Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4228655,4228655 - 90G G B S ORGANIC DARK FT 70%,AU51,AU VDC DANDENONG,167,147,5,15,0,0,20,73,34,62,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4069756,4069756 - 220G TNCC FRUIT BASKET REDUCED SGR,AU51,AU VDC DANDENONG,107,87,0,20,0,0,20,31,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4275270,4275270 - FREDDO MIXED S.PACKS SHIPPER ALDI 12CA,AU51,AU VDC DANDENONG,19,0,0,19,0,0,19,210,21,35,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4273092,4273092 - 44G CDM BREAKAWAY BAR,NZ52,NZ DORMANT NI PLANT,19,0,0,0,19,0,19,999,14,21,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,855357,855357 - 125G CAPT TABLE CLASSIC,AU86,LINFOX BRISBANE DC,133,114,0,19,0,0,19,63,27,55,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4228634,4228634 - 180G PASCALL PARTY PACK,NZ53,NZ ADC AUCKLAND,74,55,0,19,0,0,19,34,10,24,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4224822,4224822 - 204G OREO WITH CAD CHO MINT,AU51,AU VDC DANDENONG,51,33,1,18,0,0,19,82,28,56,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4253102,4253102 - RITZ 180G CRACKER BITES SOUR CREAM 6CA,AU81,AU AMBIENT DC -GROC,44,25,0,19,0,0,19,999,24,52,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,670970,670970 - 150G FREDDO FACES,AU51,AU VDC DANDENONG,35,17,19,0,0,0,19,37,17,45,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,BISCUITS,4255986,4255986 - OREO 133G  ORIG 20CA,NZ53,NZ ADC AUCKLAND,19,1,3,16,0,0,18,999,32,60,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4224730,4224730 - 50G CADBURY SMORES BAR,AU51,AU VDC DANDENONG,25,7,0,18,0,0,18,999,28,54,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4253103,4253103 - RITZ 180G CRACKER BITES CLASSIC 6CA,AU86,LINFOX BRISBANE DC,23,0,18,0,0,5,18,8,26,54,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,855358,855358 - 125G CAPT TABLE CRACKED PEPPER,AU81,AU AMBIENT DC -GROC,68,50,0,18,0,0,18,74,30,58,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BEVERAGES,621403,621403 - 200G CADBURY DRINKING CHOC-QANTAS,AU51,AU VDC DANDENONG,18,0,0,18,0,0,18,138,25,78,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4052807,4052807 - 180G CAD BAKING DARK  (S),AU51,AU VDC DANDENONG,90,73,0,17,0,0,17,95,14,84,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4266749,4266749 - 50G SPK ORIGINAL OTG,AU51,AU VDC DANDENONG,26,9,0,17,0,0,17,90,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4052559,4052559 - 160G CDM BUBBLY MILK (S),AU51,AU VDC DANDENONG,89,72,0,17,0,0,17,122,14,90,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4274561,4274561 - 175G CAD MARSHMALLOW SANTA SHAREPACK,AU51,AU VDC DANDENONG,17,0,0,0,17,0,17,999,14,329,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4253102,4253102 - RITZ 180G CRACKER BITES SOUR CREAM 6CA,AU86,LINFOX BRISBANE DC,45,28,0,17,0,0,17,999,26,54,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4224708,4224708 - 150G CDM GIFT POUCH,NZ55,CHRISTCHURCH DC,17,0,3,14,0,0,17,999,35,49,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,AU87,PERTH DC,17,0,17,0,0,0,17,0,28,56,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,GUM & CANDY,4255383,4255383 - TNCC 220G EASTER BUNNIES 16CA,AU51,AU VDC DANDENONG,17,0,0,17,0,0,17,999,0,0,,,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4052678,4052678 - 180G CDM CARAMELLO,AU51,AU VDC DANDENONG,202,0,17,0,0,185,17,7,17,31,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4042390,4042390 - 15KG CADBURY DAIRY MILK CHIPS,AU51,AU VDC DANDENONG,23,7,2,15,0,0,16,80,14,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4228744,4228744 - FR FREDDO FUN PACK CARRY BOX,AU51,AU VDC DANDENONG,85,0,16,0,0,68,16,13,14,35,,Supply,Y,,,,RCA Missing
